"filename", "language", "JavaScript", "HTML", "JSON", "SVG", "CSS", "comment", "blank", "total"
"d:\shared\battleship_game\src\js\createDOM\createGame.js", "JavaScript", 26, 0, 0, 0, 0, 3, 4, 33
"d:\shared\battleship_game\src\js\createDOM\createHeader.js", "JavaScript", 24, 0, 0, 0, 0, 2, 3, 29
"d:\shared\battleship_game\src\js\createDOM\createMain.js", "JavaScript", 15, 0, 0, 0, 0, 3, 4, 22
"d:\shared\battleship_game\src\js\createDOM\createTables\createShipsTableContainer.js", "JavaScript", 7, 0, 0, 0, 0, 2, 1, 10
"d:\shared\battleship_game\src\js\createDOM\createTables\createShipsTables.js", "JavaScript", 52, 0, 0, 0, 0, 12, 15, 79
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\GameState.js", "JavaScript", 17, 0, 0, 0, 0, 1, 1, 19
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\attack.js", "JavaScript", 21, 0, 0, 0, 0, 1, 2, 24
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\checkShipDestroyed.js", "JavaScript", 53, 0, 0, 0, 0, 8, 14, 75
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\checkWin.js", "JavaScript", 15, 0, 0, 0, 0, 2, 2, 19
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\enemyTurn.js", "JavaScript", 35, 0, 0, 0, 0, 3, 7, 45
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\canPlaceShip.js", "JavaScript", 20, 0, 0, 0, 0, 4, 2, 26
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\handleShipPlacement.js", "JavaScript", 53, 0, 0, 0, 0, 6, 6, 65
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\placeEnemyShips.js", "JavaScript", 40, 0, 0, 0, 0, 5, 8, 53
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\placeHumanShips.js", "JavaScript", 10, 0, 0, 0, 0, 3, 2, 15
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\placeShip.js", "JavaScript", 24, 0, 0, 0, 0, 4, 2, 30
